,category,value,ques,ans
33,the new york time photographi,$800,"seen a href http www j archiv com medium two thousand and seven seven nine j twenty-nine jpg target blank here a is a dramat one thousand, nine hundred and thirty-seven photo of a tragedi in thi new jersey town",lakehurst
34,a littl lit,$1000,prosper merime wa just nineteen when he wrote hi first play about thi lord protector of england,cromwel
35,big screen educ,$600,"one thousand, nine hundred and eighty debbi allen a danc instructor lydia grant",fame
36,literari number,$800,day that shook the world,ten
37,travel tourism,$400,the prin hendrick museum in thi dutch port citi hous exhibit devot to the histori activ of the port,rotterdam
38,quotat,$1000,c s lewi wrote that thi from the latin for pure is the most unpopular of the christian virtu,chastiti
39,the new york time travel,$1000,among the forty-one place to go in two thousand and eleven is thi town near vancouv the olympian are gone now it 's your turn,whistler
40,what,$400,"in one thousand, nine hundred and fifty-four marcello nizzoli design the stylish olivetti lettera twenty-two model of thi machin",typewrit
41,stephen king,$400,"king 's one thousand, nine hundred and eighty-one overview of the horror genr share it name with thi saint saen danc",macabr
42,biolog,$800,a few hundr million year ago some plant had the bright idea to protect spread their embryo in these,seed
43,i'm be sent to kyrgyzstan,$600,the kyrgyz rang in the north of k 'stan extend into thi other k 'stan,kazakhstan
44,come in,$600,a militari badg of rank or qualif,insignia
45,in the begin,$200,"the yale harvard athlet rivalri began in one thousand, eight hundred and fifty-two in thi sport",row
46,one of the twelve tribe of israel,$1000,san the san hearst 's california castl,simeon
47,old testament woman,$200,when david first saw her she wa wash herself and she wa veri beauti to look upon,bathsheba
48,publish weekli fiction bestsel,$400,"though written by joe klein one thousand, nine hundred and ninety-six 's primari color wa origin credit to thi one name author",anonym
49,the secretari of the interior,$600,at age sixty-five thi new deal interior secretari had a son also harold who becam a clinton advisor,ick
50,brand that sound like verb,$1000,thi car rental compani sound like it use tortur equip,hertz
51,red state,$800,if you 're visit glacier nation park in thi state be sure to check out red mountain red eagl mountain,montana
52,movi song,$1000,farewel and adieu to you fair spanish ladi croon robert shaw in thi spielberg splasher flick,jaw
53,silent k,$200,to interlock yarn loop to make a garment,knit
54,divid by a common languag,$800,banger usual pair with mash are these food item,sausag
55,navi seal,$1000,seal john gay surviv a firefight in thi somali capit after a bullet deflect off the knife he wore,mogadishu
56,weight measur,$1000,one hundred and fifty mhz is in thi band that fall between hf uhf,vhf
57,beverag,$1000,a gershwin song say the way you wear your hat the way you sip thi they ca n't take that away from me,tea
58,spider,$200,one of the world 's most danger spider is thi countri 's sydney funnel web,australia
59,say bon,$1000,eight letter synonym for frank simpl good hearted or genial,bonhomi
60,brand name,$200,it 's the quicker picker upper,bounti
61,plant,$200,vanilla ha been cultiv in thi north american countri for hundr of year,mexico
62,wow the midwest,$400,of the five great lake the total number we have to share with canada,four
63,hall of famer by posit,$600,bob feller bob lemon bob gibson,pitcher
64,b prepar,$800,thi color varieti of countri music is play on unamplifi string instrument,bluegrass
65,the blue s,$800,it 's the state flower of texa but keep it under your hat,bluebonnet
66,the first word,$600,in dickens' a christma carol,marley
67,rhyme bot,$200,turkey is the lead produc of thi peachi fruit,apricot
68,american graduat,$600,look out thi big ten school unleash about six zero new wolverin on the upper midwest each spring,michigan
69,americana,$200,rhode island is nicknam littl rhodi thi state is littl ida,idaho
70,vocabulari,$400,annuiti plan in which the last survivor inherit all name for lorenzo tonti a neopolitan banker,tontin
71,sound like a local,$1000,thi ohio villag thoma edison 's birthplac is name for a north italian citi but rhyme with stylin',milan
72,lo,$400,a roof open area in the side of a build or the last name of the actor seen here,loggia
73,at the business' websit,$200,learn about the clydesdal an american tradit at thi beer 's com,budweis
74,five syllabl word,$1000,thi type of physic use mathemat model abstract rather than experiment,theoret
75,world citi,$600,with some two hundred inch of rain per year thi capit of liberia is one of the world 's wettest citi,monrovia
76,two thousand and five ig nobel prize,$1000,for literatur the african entrepreneur of thi countri were honor for their attempt to con via e mail,nigeria
77,where am i ?,$800,"a href http www j archiv com medium two thousand and eleven five twenty-five j twenty-eight jpg target blank kelli of the clue crew stand on the lawn of a neoclass build a i'm at thi famou home which in one thousand, nine hundred and eighty-seven wa name to the world heritag site list along with the nearbi univers of virginia",monticello
78,a world of food,$1000,appl is probabl the most famou type of thi pastri whose name is german for whirlpool,strudel
79,music instrument origin,$400,the histori of thi brass instrument slide back to the 15th centuri sackbut,trombon
80,nonsens word,$400,the type of nonsens you 'd expect to find aboard the chine boat of the same name,junk
81,crossword clue s,$1000,befor energi or plexu five,solar
82,the middl age,$1000,design by filippo brunelleschi thi citi 's pazzi chapel wa one of the first build in the renaiss style,florenc
83,we don't need no stinkin' badger,$200,badger belong to thi famili mustelida but you probabl have never sung pop goe the badger,weasel
84,african cook,$400,almond milk is enjoy in thi countri where it is sold on the street of marrakesh,morocco
85,the star,$600,thi measur of star bright is symbol with a small m if it 's appar a big m if it 's absolut,magnitud
86,color full word,$600,a href http www j archiv com medium two thousand and eight eleven six j eight wmv sarah of the clue crew point her remot first at you and then at her digit camera a you do n't see anyth happen when you press your remot but hold it up to a camera you can see it 's commun to the tv use thi spectrum of light,infrar
87,poetic set,$1000,thi 19th c poem begin with the line thi is the forest primev,evangelin
88,eau k,$400,"thi state capit wa found by gold prospector in one thousand, eight hundred and eighty",juneau
89,q me,$800,with one hundred and sixty inch of rain a year in some place it 's australia 's wettest state,queensland
90,the old testament,$200,thi philistin ask david am i a dog that thou comest to me with stave ?,goliath
91,where the street have some name,$800,travers to travers citi mich go nut a la anthoni perkin for you 'll find thi path there,psycho
92,european histori,$200,"when it becam independ in one thousand, eight hundred and twenty-nine it wa half it current size but ad thessali in one thousand, eight hundred and eighty-one epiru in one thousand, nine hundred and thirteen",greec
93,a real dog poni show,$600,thi breed seen here may be descend from the harrier,beagl
94,rhyme scene investig,$1000,ogden nash start a limerick there wa an old man of thi citi in india who coat hi tonsil with butta,calcutta
95,savant,$400,a fanat is one who ca n't chang hi mind wo n't chang the subject said thi wartim british p m,churchil
96,at the buffet,$1000,tradit egg florentin is poach egg on a bed of spinach top with thi sauc a variat on bechamel,mornay
97,storag,$600,store your manli posse use a gun bat or pipe type of thi four letter word,rack
98,end in h,$800,savior from the arama for anoint one,messiah
99,u s geographi,$400,the largest area of sand dune in north america lie north of the platt river in thi state,nebraska
100,moonrak,$200,for the moon thi process is the opposit of wane,wax
101,state fact,$1000,the citi of tahlequah in thi state is the capit of the cheroke nation,oklahoma
102,four letter band,$1000,the music mamma mia featur the music of thi '70 pop powerhous,abba
103,the liberti bell,$800,on the inscript pennsylvania is misspel omit thi letter,n
104,stupid answer,$1000,masi oka play a charact with thi first name on the tv show hero,hiro
105,colleg hodgepodg,$600,thi adject for a second year student is defin a intellectu pretenti conceit immatur,sophomor
106,travelin',$800,you can head south on varig airlin the nation airlin of thi south american countri,brazil
107,fun with the dewey decim system,$1000,the five hundred cover scienc the six hundred cover thi defin a the applic of scienc,technolog
108,rebellion shays' whiskey,$600,thi treasuri sec help form then tag along with the armi sent to suppress the whiskey rebellion,hamilton
109,the navi seal,$400,a href http www j archiv com medium two thousand and eight seven twenty-one j twenty-seven jpg target blank sarah of the clue crew stand on shore a two attack boat approach at the navi amphibi base in coronado ca a the navi seal were creat by a href http www j archiv com medium two thousand and eight seven twenty-one j 27a jpg target blank thi a u s presid who had been a small unit naval command who knew what a small tough forc could do,jfk
110,four letter word,$600,it 's a song frequent sung in church in prais of god,hymn
111,doctor horribl,$600,in two thousand and ten a detroit doctor wa convict in a four two million scheme to defraud thi program for the elderli,medicar
112,johann brahm,$800,brahm wrote onli four of these composit includ no three in f major,symphoni
113,i'll be bach,$400,a popular bach cantata tell the stori of a father 's fear that hi daughter is addict to thi morn drink,coffe
114,ballet,$1000,"a a law student in st petersburg thi man becam interest in the art in one thousand, nine hundred and nine he found the ballet rus",diaghilev
115,go for the juggler,$800,sofia of the clue crew devilstick juggl probabl origin in thi asian countri where it 's call wakan,china
116,japan,$200,the name of thi monetari unit come from the word for round earlier coin were often oval,yen
117,i'm libyan,$600,prime minist from two thousand and three to two thousand and six shukri ghanem earlier spent time a the research director of thi cartel,opec
118,there will be ram ific,$1000,ricketi like an old hous about to fall down,ramshackl
119,wealthi,$200,the wonowidjojo former presid suharto are among thi countri 's wealthiest citizen,indonesia
120,the bard write,$800,the rest is silenc are thi princ 's die word,hamlet
121,busi,$1000,hca co found by bill frist 's father thoma stand for thi corpor of america,hospit
122,fast food nation,$800,oven toast tast better accord to thi sandwich chain with more than three zero restaur worldwid,quizno
123,insid johnni gilbert,$600,thin clear soup of concentr stock,broth
124,two letter abbrev,$400,"in one thousand, nine hundred and thirty-nine thi organ introduc it twelve step program",aa
125,the jeopardi world orchestra,$200,heard here the vietnames version of thi wood voic instrument is made of bamboo,xylophon
126,step into the studi,$400,i'm into proxem a peopl are alway invad my person thi,space
127,space mission,$800,the cassini project is explor titan enceladu moon of thi second largest planet,saturn
128,"one thousand, eight hundred and forty america",$400,"in one thousand, eight hundred and forty-nine thi cabinet depart wa creat assum control of the gener land offic the indian affair offic",interior
129,color,$400,thi color found on the toga of roman emperor is a synonym for regal,purpl
130,do tell,$1000,small round of meat fill pasta that are shape into ring boil,tortellini
131,'husker do,$1000,"a href http www j archiv com medium two thousand and seven one twelve j thirty jpg target blank cheryl of the clue crew report from omaha ne a i'm in a replica of the omaha groceri a man with thi last name start run in one thousand, nine hundred and fifteen fifty year later hi grandson start run an invest busi call berkshir hathaway",buffett
132,back to the '50,$600,"introduc in one thousand, nine hundred and fifty-seven thi car model from ford wa not embrac by the car buy public",edsel
133,eye captain,$1000,a href http www j archiv com medium two thousand and eight ten twenty j twenty-one wmv kelli of the clue crew show an anatom diagram on the monitor a thi irregular in the eye 's surfac a href http www j archiv com medium two thousand and eight ten twenty j twenty-one jpg target blank bend a the ray of light so that it ca n't be brought to a singl focu result in blur,astigmat
134,modern day quot,$1000,kenneth lay of thi co admit in hindsight we made some veri bad invest in noncor busi,enron
135,word origin,$600,billingsg a term for foul languag come from the name of an old fish market in thi world capit,london
136,poison,$400,sentenc to death by poison for corrupt the youth of athen he took the fatal swig in three hundred and ninety-nine b c,socrat
137,world of color,$200,it 's the color in the name of a bear a berri a bird,black
138,on the lamb,$1000,new york 's le cirqu serv rack of lamb with eggplant thi chees whose name mean recook,ricotta
139,made of clay,$200,the beverli hillbilli had a pond made of thi substanc that can be made with clay limeston,cement
140,food drink brand,$1000,mr t wa featur in busta rhymes' two thousand and two video pas thi napoleon cognac,courvoisi
141,stupid answer,$800,robert urich play la vega p i dan tanna on thi seri,vega
142,agricultur,$200,nitrogen fertil are produc primarili from thi ga,ammonia
143,pac rat,$1000,the sinoatri node of the heart or an exampl setter,pacemak
144,"one thousand, nine hundred and fifty-nine 's bestsel",$200,in a paul gallico titl mr 'arri goe to thi european citi,pari
145,where am i ?,$1000,sofia i'm on squaw peak in eastern california look down at thi lake with a nativ american name,taho
146,from the latin,$800,the name of thi fin on a shark 's back come from the latin for back,dorsal
147,biblic book titl,$800,a collect of essay by joan didion is call slouch toward thi biblic citi,bethlehem
148,school day,$200,it use to be a student who kept order in the hall now it 's a screen for your comput,monitor
149,onli in america,$1000,the highest point or summit,acm
150,say chees,$600,cojack is a blend of jack chees thi one,colbi
151,the oscar goe to,$200,him for direct schindler 's list,spielberg
152,canadian histori,$800,"the charlottetown accord recogn thi provinc a a distinct societi fail a one thousand, nine hundred and ninety-two vote",quebec
153,guin world record,$200,ma li hua went three hundred and three six hundred and twenty-one for three hundred and three six hundred and twenty-eight singl handedli set up toppl these,domino
154,pick up your cloth,$800,for two thousand and one for the bird the account are two of these that won oscar,short
155,strong men,$1000,last name brother joe ben scrawni kid who bulk up found a bodybuild empir,weider
156,add a letter,$1000,a letter ad to amiabl get you thi word that mean the same thing,amic
157,the newspap,$1000,a certain miner or the type size use for sport stat stock tabl,agat
158,e male,$1000,thi princ of wale wa also known a the black princ,edward
159,number plea,$600,in the armi number of silver bar a captain ha or silver star a major gener ha,two
160,who made that alphanumer thing ?,$1000,the news show ac360 the network,cnn
161,fake it,$200,a fourflush is a person who bluff specif at thi card game,poker
162,famou nicknam,$800,the nicknam of detect eagan who inspir the french connect of detect doyl in the film,popey
163,potent potabl,$400,tequila is name for a town near guadalajara in thi countri,mexico
164,blarney,$1000,"thi word for a type of liquor appli to a one thousand, seven hundred and ninety-four american rebellion",whiskey
165,take a hike,$1000,germani 's one hundred and four mile rennsteig meander through the thuring wald or thuringian thi,forest
166,song verb,$800,crowd hous do n't it 's over,dream
167,celebr,$800,balli total fit ha team with thi pop star for get your bodi start hip hop aerob class,pink
168,aye pad,$1000,found at the confluenc of the ohio tennesse river it 's the seat of mccracken counti kentucki,paducah
169,by halv,$200,"after be made with a new metal in one thousand, eight hundred and eighty-three the u s coin known a the half dime becam known a thi",nickel
170,truckin',$200,there 's no get around thi compani 's dakota ram pickup,dodg
171,tv theme song lyric,$200,toss salad and scrambl egg,frasier
172,marco polo,$1000,"in the one thousand, two hundred and seventy the polo famili hit thi citi to pick up oil from the holi sepulchr to bring to asia",jerusalem
173,potpourri,$400,andrassi is the luxuri shop street of thi capit of hungari,budapest
174,anim,$400,the onli femal deer with antler it use them to dig in the snow for food,reindeer
175,jim rhyme,$800,a sudden caprici desir or act,whim
176,mari queen of scot playmat of the month,$800,turn on poetri needlework thi branch of christian,catholic
177,give me one good raisin,$800,thi carthaginian gener reportedli gave ration of raisin to hi troop when they were cross the alp,hannib
178,the sistin chapel,$800,the chapel wa built to the dimens of thi man 's templ a describ in the old testament,solomon
179,ballet,$200,cadet attend a danc at a girls' school in graduat ball a ballet set in thi capit of austria,vienna
180,intern airlin,$200,"found in one thousand, nine hundred and nineteen thi dutch compani is the oldest continu oper airlin in the world",klm
181,con game,$600,from the latin for contact thi adject is use to describ diseas transmit from person to person,contagi
182,rhyme fest,$600,type of play prank that 's the specialti of the court fool,jest
183,usda forest servic,$600,the a href http www j archiv com medium two thousand and eleven eleven fifteen j three jpg target blank shape a of the union pacif railroad logo wa use a href http www j archiv com medium two thousand and eleven eleven fifteen j 03a jpg target blank thi a tree in the a href http www j archiv com medium two thousand and eleven eleven fifteen j 03b jpg target blank pine a famili wa ad to creat the forest servic logo,fir
184,a ticker tape parad,$1000,"unemploy start with a bang when thi five star gener got a parad after be fire by truman in one thousand, nine hundred and fifty-one",macarthur
185,state rebus,$400,the vehicl noah travel in togeth with the tool he use to cut word to make it,arkansa
186,bee happi,$600,it 's three eight bison five eight domest cow,beefalo
187,american histori,$200,"found in one thousand, six hundred and seven the popham coloni on the kennebec river wa thi state 's first english settlement",main
188,poetic set,$600,in everi voic the mind forg manacl i hear say william blake 's grim poem about thi capit citi,london
189,shakespeare' charact,$600,brabantio desdemona 's father ask thi aid to othello what profan wretch art thou ?,iago
190,anim,$200,smaller form of these bird are usual call dove,pigeon
191,now play at the oedipu complex,$200,"mother is n't quit herself today in thi one thousand, nine hundred and sixty horror classic",psycho
192,r town,$1000,"situat on the road to mecca it becam the seat of the saud dynasti around one thousand, eight hundred and twenty-four",riyadh
193,in there,$800,the caribbean bahrain barbado bermuda,barbado
194,shampoo,$600,"thi classic green shampoo wa introduc in one thousand, nine hundred and forty-seven in a metal tube glass bottl broke in the shower",prell
195,a littl deb ll do ya,$800,you 'll find her exploit extol in the bibl 's book of judg,deborah
196,duck duck goo,$1000,the down of thi larg sea duck somateria mollissima is use a warm fill in jacket pillow quilt,eider
197,firefight,$1000,smash window is technic call tactic thi from the latin for wind,ventil
198,music instrument,$200,the bodi of thi instrument use in minstrel show is similar to a tambourin,banjo
199,pasta shape,$600,stellin are liter littl these heavenli bodi,star
200,the bibl,$600,thi mani friend of daniel were thrown into the fieri furnac but save by god,three
201,monster mash,$600,we 're not exactli sure what the monster is on the island of thi abc drama but kate jack sawyer want to know,lost
202,brand name,$600,kraft make hot cereal call cream of rice cream of thi,wheat
203,wed,$200,it 's the job of the lad seen a href http www j archiv com medium two thousand and four seven six j eleven jpg target blank here a,ringbear
204,oh calcutta,$200,calcutta 's main river the hooghli is a branch of thi one,gang
205,mississippi my love,$1000,for one hundred year until the great depress thi crop wa the undisput king of mississippi 's agrarian economi,cotton
206,you'll rue the day,$200,thi man the usa 's first ambassador to franc ha a pari rue name for him,franklin
207,balder dash,$400,a dwarf name lit wa burn up along with balder in thi funer structur,pyre
208,scarfac,$1000,"capon 's home from august one thousand, nine hundred and thirty-four through novemb one thousand, nine hundred and thirty-nine",alcatraz
209,verb,$200,a way to cook egg or to take game or fish illeg,poach
210,relat song titl,$800,her song bang bang my babi shot me down just like jess jame,cher
211,cook up some stu,$800,noun mean a daze state of near unconsci,stupor
212,best seller,$200,"in one thousand, nine hundred and seventy-six publish weekli initi a best seller list for these",paperback
213,nebraska the good life,$200,rub shoulder with nebraska state legisl at billi 's restaur on h street in thi capit,lincoln
214,i'm surpris,$1000,on hear a surpris affront you may be taken thi five letter way,aback
215,lesser known american,$400,sidney lenz a presid of the american ping pong associ wa also an expert on whist thi card game,bridg
216,from d to shine d,$400,some have found paradis by the light of thi car instrument panel,dashboard
217,end in ench,$800,ooh what 's that odor,stench
218,a date with densiti,$600,a href http www j archiv com medium two thousand and seven three fourteen j twenty-eight jpg target blank cheryl of the clue crew demonstr a scientif instrument a a href http www j archiv com medium two thousand and seven three fourteen j 28a jpg target blank thi a devic for measur the densiti of liquid take it name from the greek for water measur,hydromet
219,stupid answer,$200,it 's the one word name of the ben jerri 's flavor describ a vanilla ice cream with vanilla bean speck,vanilla
220,put it,$200,a homer a murder or a visit to a world wide web site,hit
221,just desert,$1000,the gobi the largest desert in asia is in southern mongolia the northern part of thi countri,china
222,natur studi,$400,a supercoloni of these insect formica yessensi wa found to have more than one million queen,ant
223,it' all a plant,$600,in dutch these tuber veget are known a aardappelen,potato
224,time to beg for it,$600,to mislead by trickeri or flatteri,beguil
225,you can count on prefix,$600,the famou dionn of ontario canada for exampl,quintuplet
226,countri end in e,$600,it 's found in central america,beliz
227,i'll take manhattan,$200,the handmad potteri studio at six hundred and fifty-four tenth avenu is n't call blood sweat these but mud sweat these,tear
228,hi bob,$200,bob hope grew up in cleveland ohio but wa born in thi countri,england
229,histor woman,$400,agrippina nero were among those who hire locusta a ladi profession assassain who use thi method,poison
230,oh shoot,$800,a href http www j archiv com medium two thousand and five two ten j twenty-three wmv sarah of the clue crew get some help from jimmi in the mountain of montana a unlik skeet where the clay go side to side a href http www j archiv com medium two thousand and five two ten j twenty-three jpg target blank i'm a do a href http www j archiv com medium two thousand and five two ten j 23a jpg target blank thi a type of shoot which send the clay straight out pull i whoa i,trapshoot
231,the big unit,$1000,"in one thousand, nine hundred and twenty-six the queen of romania flip on the new one hundred zero horsepow gener of new york thi now consolid thi",edison
232,w orld geographi,$200,belgian citi whose name ha come to mean defeat becaus napoleon wa defeat there,waterloo
233,mr smith goe to washington,$600,"in one thousand, nine hundred and ninety-six gordon smith lost to ron wyden to replac bob packwood a a sen from thi state now they serv togeth",oregon
234,anim group,$200,gather a group of these anim in wisconsin you 'll have a cete,badger
235,r rrrrrrrrr,$600,the stem of these asian palm are use to make wicker furnitur,rattan
236,panamania,$1000,the nation currenc of panama bear the name of thi man the first european to see the pacif,balboa
237,y ? becaus we like you,$800,it 's not how a rapper get your attent it 's a naval petti offic,yeoman
238,have some t,$800,instead of make the wet land type of thi polynesian tuber into poi i 've use the dri land type to make chip have some,taro
239,in the news,$400,thi so american countri lost million after two cyanid lace grape turn up in philadelphia,chile
240,three against one,$600,a temporari calm or still,lull
241,top drawer,$800,a major govern build of thi state capit is model after the capitol in washington d c,topeka
242,hail to the chief,$400,"visit what is now hopewel va in earli april one thousand, eight hundred and sixty-five thi man had a terrifi dream that he would be assassin",lincoln
243,u s citi,$1000,john adam said the child of independ wa born in the old council chamber of thi citi 's old state hous,boston
244,busi industri,$400,"in the one thousand, nine hundred and forty benjamin green use hi own bald head to test thi suntan lotion",copperton
245,countri of the world,$200,the spanish port of ceuta melilla actual lie on the mediterranean coast of thi north african nation,morocco
246,tropic forest creatur,$200,there are over one hundred speci of the poison arrow type of these amphibian,frog
247,magazin newspap,$800,magazin name that appli to a charismat person includ glamour thi one the beauti expert,allur
248,fun with the dewey decim system,$600,cover the eight hundred it 's the onli main dewey classif that 's also a nobel prize categori,literatur
249,fashion,$400,in the swing '60 carnabi street in thi citi becam a center for the mod look,london
250,american world captial,$1000,a lead market for racehors thi kentucki citi is the hors capit of the world,lexington
251,crossword clue c,$200,pink reef sea preced five,coral
252,don we now our guy apparel,$400,"bunni austin shock the tenni world when he wore these compet at forest hill in one thousand, nine hundred and thirty-two",short
253,actor a presid,$200,cliff robertson in pt one hundred and nine,jfk
254,dinner,$400,we owe thank to thi countri for share with u it chicken paprikash,hungari
255,histor ship,$200,the confeder ship the virginia wa also known by thi name,merrimac
256,hello wall,$1000,a biograph said he wa the first to build a wall eighty mile long to separ the roman from the barbarian,hadrian
257,european countri,$800,princ philipp not to be confus with that british guy is heir appar to thi low countri 's throne,belgium
258,water tast off,$800,"we think you 'll notic the crisp like a cool autumn day of thi introduc by coca cola in one thousand, nine hundred and ninety-nine",dasani
259,hat' all folk,$800,"the ever popular bowler hat is name for william bowler the man who creat it in one thousand, eight hundred and fifty in thi countri",england
260,vegetarian can eat that ?,$600,"in one thousand, nine hundred and eighty-one the trolli compani gave u the gummi type of these creepi crawli seen on your lawn",worm
261,f i do say so,$400,it 's the german equival of the english word miss,fraulein
262,commun,$800,in the pyrali speci of thi femal respond to a male flash with a flash of their own two second later,firefli
263,hey babi i'm preme,$1000,organ chem is easi onc you get thi concept of an atom 's combin capac also appli to some electron,valenc
264,pacif ocean life,$200,a href http www j archiv com medium two thousand and eleven four twenty-five j seventeen wmv sarah of the clue crew read from the maui ocean center a to be hard to see from both abov and below mani shark have dark back and paler belli thi wa name counter shade by abbot thayer an artist who help the militari develop thi dure world war i,camouflag
265,nash ing,$400,there is someth about a martini to tell you the truth it is not the i think that perhap it 's the gin,vermouth
266,ee,$400,your profession life hope a distinguish one,career
267,onlin,$800,julian assang run thi site known for post u s militari document to the pentagon 's displeasur,wikileak
268,the olympian god,$800,one of her four child by zeu wa hephaestu also an olympian god,hera
269,olymp game wait list,$800,the absenc of thi centuri old martial art from the olymp ha left medal hope empti hand ed,karat
270,whatev,$600,for one brief shine moment the kennedi were said to live in thi mythic kingdom,camelot
271,cute furri deadli,$1000,on snl immigr john belushi learn to say i would like to feed your fingertip to thi michigan glutton,wolverin
272,anagram univers,$1000,"found in one thousand, seven hundred and sixty-nine mod art hut",dartmouth
273,in like a lion,$200,lion danc are entertain dure thi countri 's new year 's day celebr in two thousand and nine januari twenty-six,china
274,we'r no one,$600,"in one thousand, nine hundred and ninety-seven thi band hit the top spot with mmmbop by two thousand and seven all three band member were marri two were dad",hanson
275,fish tale,$600,the angler and the littl fish is one of hi fabl,aesop
276,histor twit,$600,idi amin expel all asian befor he wa expel from kampala thi african countri,uganda
277,capit,$600,"settl around one thousand, eight hundred and twenty-four it replac melbourn a the capit in one thousand, nine hundred and twenty-seven",canberra
278,crossword clue t,$400,they grasp ice cube or escargot five,tong
279,scienc,$400,in the nervou system calcium ion cross the gap between these caus a releas of acetylcholin,neuron
280,commun,$600,"after an earlier one wa sever by a fisherman a cabl to transmit these wa laid under the english channel in one thousand, eight hundred and fifty-one",telegram
281,hot bun s,$400,a con game or the polic squad that break it up,bunko
282,u s geographi,$400,in area thi new england state roughli equal vermont n h connecticut massachusett combin,main
283,first name' the same,$600,cardiac pioneer debakey irish hero collin,michael
284,music instrument,$1000,pablo casal said that thi instrument is like a beauti woman who ha not grown older but younger with time,cello
285,get there,$800,t 's the countri that gave u the term for a three hors drawn sled known a a troika,russia
286,u s capit of the world,$800,the one eight hundred center capit we thought thi neb citi might be the insur capit but that 's hartford conn,omaha
287,first aid,$800,a good treatment for an ankl sprain is rice rest ice compress thi,elev
288,that' busi,$600,an italian clothier is known a the unit color of thi,benetton
289,breakfast cereal,$800,"thi cereal wa introduc by gener mill in one thousand, nine hundred and thirty-seven mayb you 'll get it on rout sixty-six ?",kix
290,get your literari fact straight,$400,agatha christi death on the nile thoma mann death in thi citi,venic
291,the human bodi,$800,the averag life span of these receptor cell group in the mouth is eight ten day,tastebud
292,weight measur,$400,what the british call a billion we call thi,trillion
293,c me,$400,anim subphylum of chiefli aquat arthropod cover by a hard shell,crustacean
294,itz at the end,$600,"thi cracker wa introduc by nabisco in one thousand, nine hundred and thirty-four name to conjur up an imag of wealth glamour",ritz
295,illinoi iowa or indiana,$400,in area it 's the smallest mainland state west of the appalachian mountain,indiana
296,volcano,$200,the word volcano come from the name of thi roman god of fire,vulcan
297,happi,$200,peopl are sometim happi a thi bird of the famili alaudida,lark
