,category,value,ques,ans
113,two thousand and eleven news,$1000,thi european countri with two distinct ethnic group broke a record by mark two hundred and forty-nine day without a govern,belgium
114,but fear itself,$200,your onli option may be to lie down if you have stasiphobia a fear of stand thaasophobia a fear of thi,sit
115,grow pain,$1000,bursiti of the shoulder is often treat with inject of thi hormon from the latin for bark,cortizon
116,what' miss ?,$400,the three state with the highest number of elector colleg vote california new york,texa
117,food for thought,$1000,selenium from thi bulb allium sativum can make you more clearhead,garlic
118,from rag s,$1000,"philosoph theori promot by william jame in the earli one thousand, nine hundred",pragmat
119,european languag,$400,although spanish is wide spoken in gibraltar thi languag is use for school for offici purpos,english
120,c'est chees,$200,thi french blue chees is age in the limeston cavern of mount combal,roquefort
121,'husker do,$1000,"a href http www j archiv com medium two thousand and seven one twelve j thirty jpg target blank cheryl of the clue crew report from omaha ne a i'm in a replica of the omaha groceri a man with thi last name start run in one thousand, nine hundred and fifteen fifty year later hi grandson start run an invest busi call berkshir hathaway",buffett
122,get a job do don't,$400,on a job applic under sex do n't write okay do n't overus thi first person singular pronoun,i
123,state intellig,$1000,within the oglaigh na h eireann g2,ireland
124,and the kingdom,$1000,rudolf elphberg is about to be crown king of ruritania but instead becom the prison of thi titl place,zenda
125,plant,$200,russian thistl break from it base goe drift along with the wind so it 's call thi,tumblewe
126,hey kid let' learn the alphabet,$400,truth or credit it also describ our belov abe h is for,honest
127,the other side of the hyphen,$400,a four dimension continuum space,time
128,slow news day,$1000,sarah tonight a hear on whether these construct tool that includ a man 's name are harm your hear,jackhamm
129,to each hi own,$1000,thi eleven letter adject can mean untrustworthi or hazard,treacher
130,stupid answer,$400,in the binari number system thi number would be one,one
131,danc,$1000,mayim a popular folk danc from thi countri mean water in the nativ languag,israel
132,famou first,$200,"introduc in one thousand, eight hundred and thirty-two the john mason new york citi 's first street car wa power by these",hors
133,weapon,$200,from the latin for fli thi shoulder gun let fli with ammo throughout the 17th 18th centuri,musket
134,my kind of town,$400,thi new hampshir capit is home to the franklin pierc law school,concord
135,wax philosoph,$400,"seen a href http www j archiv com medium two thousand and four nine twenty-one j seventeen jpg target blank here a the death of thi athenian philosoph wa immort by jacqu loui david in one thousand, seven hundred and eighty-seven",socrat
136,gun,$1000,four letter name of the submachin gun that replac the tommi gun in the british arm forc,sten
137,world histori,$1000,j j dessalin who bore scar from hi master 's whip want to kill all white on hi island now call thi,hispaniola
138,carb,$1000,thi acid also call phenol is use a a disinfect,carbol
139,one word imper,$1000,"on april twenty one thousand, six hundred and fifty-three oliv cromwel told the rump parliament in the name of god thi two letter word",go
140,sheer lunar sea,$1000,the ocean of these perhap a blizzard or two ?,storm
141,eye captain,$1000,a href http www j archiv com medium two thousand and eight ten twenty j twenty-one wmv kelli of the clue crew show an anatom diagram on the monitor a thi irregular in the eye 's surfac a href http www j archiv com medium two thousand and eight ten twenty j twenty-one jpg target blank bend a the ray of light so that it ca n't be brought to a singl focu result in blur,astigmat
142,word origin,$200,aka hump day it wa name for a nors god,wednesday
143,fabric textil,$200,the citi of damascu gave u the name damask the citi of mosul gave u the name of thi fabric,muslin
144,the fifty state,$400,to stand in the center of thi state go five mile northeast of ame stand there how excit,iowa
145,irregular verb,$200,for the past ten of dream you have your choic of dreamt or thi regular form,dream
146,e pic,$400,"in one thousand, nine hundred and sixty it wa let my peopl go to thi film in which paul newman help establish the state of israel",exodu
147,theme park fun,$1000,it 's the number of flag in the name of a famou theme park chain,six
148,nobl nicknam,$400,the fowler the wrangler the navig,henri
149,doubl l word,$1000,there are more than six hundred speci of thi butterfli includ the one seen here,swallowtail
150,annual event,$200,thi largest citi in new mexico host an intern balloon festiv in mid octob,albuquerqu
151,polit lingo origin,$1000,"an indian villag in the one thousand, seven hundred had thi so the leader could stand abov the peopl be heard now it mean to campaign",stump
152,gener,$200,though unrel joseph e and albert sidney johnston were both lead gener in thi armi,confeder
153,abbrevi s,$200,on a cloth size tag,small
154,judea,$1000,galile samaria judea in the south were the three tradit divis of thi ancient area with a still current name,palestin
155,bodi languag,$200,a kleptomaniac could be accus of have sticki these,finger
156,a hors is a hors,$400,"a hors name comanch surviv thi man 's june one thousand, eight hundred and seventy-six last stand",custer
157,makeup test,$200,space alien must love the rocket citi lip duo call take me to your thi,leader
158,nativ americana,$400,the canarsi a delawar subtrib sold thi new york citi borough to the dutch,brooklyn
159,mirror,$400,a two thousand and one experi found not just primat but these aquat mammal recogn themselv in mirror,dolphin
160,is thi a rerun ?,$1000,if you miss the first sat night episod of thi realiti show on fox there 's usual anoth right after,cop
161,stupid answer german edit,$200,even if you spill it do n't cri over die milch thi,milk
162,"one thousand, nine hundred and thirty aviat",$200,the mitsubishi flown from japan for georg vi 's coron wa name thi japanes for divin wind,kamikaz
163,dorm cuisin,$200,thi cereal 's red box featur a white rabbit the word are for kid,trix
164,anim group,$200,kangaroo monkey boy scout all come in these group,troop
165,compound word,$1000,a a noun it 's a small slit in a garment a a verb to tri to hold someon 's attent,buttonhol
166,hoax,$200,"in one thousand, seven hundred and thirty ben franklin print a made up account of the trial of these includ test whether they float",witch
167,the circulatori system,$200,carbon dioxid is swap for oxygen in the alveolus of these organ,lung
168,isaac,$400,despit a famin god told isaac to go not down unto thi land of the pharaoh but to stay put in gerar,egypt
169,trail mix,$1000,"in the mid one thousand, eight hundred seventy zero mormon travel the mormon pioneer trail between nauvoo in thi state utah",illinoi
170,asian histori,$400,tu duc a 19th centuri nguyen emperor in thi countri help write a comprehens histori of it,vietnam
171,grain stapl,$200,the roll form of thi grain cook in about five minut the steel cut take much longer,oat
172,the whale wall,$200,a mural wa paint on the whale museum in taiji the citi that start the industri for thi countri,japan
173,rock 'n' roll histori,$200,"it premier on august one one thousand, nine hundred and eighty-one at twelve one a m with john lack say ladi and gentleman rock and roll",mtv
174,southern cook,$400,benn wafer cracker made of thi seed are a popular charleston south carolina treat,sesam
175,here' someth random,$1000,respons for kill off the nors god balder via mistleto thi trickster god often appear a an old woman,loki
176,presidenti potent potabl,$200,"alcohol may have contribut to hi leav the armi in the one thousand, eight hundred and fifty he came back fight in the one thousand, eight hundred and sixty",grant
177,string theori one hundred and one,$200,string puppet are often call these affer a certain virgin,marionett
178,"one thousand, nine hundred and fifty-nine",$200,the fda seiz over two hundred and fifty-four zero lb of cranberri contamin by pesticid just befor thi holiday,thanksgiv
179,presidenti creation,$200,thi man whose wife wa note for her tast eleg set up the presid 's advisori council on the art,kennedi
180,crossword clue e,$400,count off one by one nine,enumer
181,ira,$400,the ladi wa quit overcom by thi moistur exud by the muscular estat garden,perspir
182,a littl lit,$1000,the titl charact of thi voltair work discov garden will make him happi,candid
183,it' element,$1000,oxid of thi silver white metal element are use in pigment to give some ceram a vivid blue color,cobalt
184,olog,$400,a person who special in sinolog would be an expert on thi countri 's histori custom,china
185,u s citi,$400,found on the st jone river thi capit of delawar bear the name of an english seaport,dover
186,imposs,$200,jesu said if you have thi noth will be imposs unto you,faith
187,break news,$400,it wa one hundred and three degre in juli two thousand and ten con ed 's command center in thi n y borough show twelve nine hundred and sixty-three megawatt consum at one time,manhattan
188,at the buffet,$200,you might start off with the peel eat these the cocktail sauc is on the left,shrimp
189,skirt the issu,$200,origin worn by highland in variou tartan these are also worn by woman a skirt,kilt
190,also a book of the bibl,$1000,"sega 's video game system from one thousand, nine hundred and eighty-nine",genesi
191,load the magazin,$1000,"in oct two thousand and four thi institut al mag ponder what the u s would be like had breckenridg won the one thousand, eight hundred and sixty elect",smithsonian
192,europ,$1000,pari is organ into twenty of these,arrondiss
193,world of food,$400,basmati from india jasmin from thailand are aromat type of thi grain,rice
194,i love you min,$1000,the product of illumin by live creatur,bioluminesc
195,a nation of asia,$400,home to the golden templ the center of the sikh religion the citi of amritsar is found in thi nation,india
196,american histori,$200,"thi pact among the u s mexico canada took effect in one thousand, nine hundred and ninety-four aim to elimin tariff by two thousand and eight",nafta
197,the bod squad,$400,joseph murray perform the first success human organ transplant of thi pair intern organ,kidney
198,philosoph,$400,kukai saicho were major philosoph of thi countri 's heian period,japan
199,dialect,$200,of all thi languag 's dialect tuscan is the closest to classic latin,italian
200,literari pop,$400,thi techno musician got hi name from a book about a big ocean mammal,mobi
201,histori,$1000,a suprem court decis in two thousand said right name for thi man were embed in routin polic practic,miranda
202,i get no kick from campaign,$1000,the onli republican presidenti nomine to lose twice hi run mate the 2nd time wa earl warren,dewey
203,grandma' secret diari,$400,"june four one thousand, nine hundred and forty-two use an eyebrow pencil to draw a line up the back of my leg befor my date becaus i ran out of these",nylon
204,brand name,$400,thi floweri brand use the slogan the milk from content cow,carnat
205,macy' parad,$200,"a band from jupit led off the one thousand, nine hundred and eighty-nine parad thi guy from melmac serv a a tv host",alf
206,also a bodi part,$400,a href http www j archiv com medium two thousand and six one twenty-five j twenty-five jpg target blank kelli of the clue crew take apart a microphon a a basic part of ani microphon is a href http www j archiv com medium two thousand and six one twenty-five j 25a jpg target blank thi a thin metal disk that vibrat in respons to sound it 's also a bodi part,diaphragm
207,the e u,$200,most of the eu 's import offic includ the council of the european union are hqed in thi belgian citi,brussel
208,let' go to the movi,$200,the strength of the outer part of a kernel of thi determin if it 's a nice fluffi one or a crunchi old maid,popcorn
209,america the beauti,$1000,america america may god thi gold refin till all success be nobl and everi gain thi godli word,divin
210,more than one mean,$1000,part of a plant part of a music note or to stop the flow of someth,stem
211,math rock,$400,"in one thousand, nine hundred and seventy-five jethro tull rightli told u that thi number to the power of ten equal noth at all",zero
212,televis,$200,thi aaron spell sizzler set in georgia center on three sultri woman lane peyton rees,savannah
213,wine dine,$1000,with sardin perhap a white vinho verd from thi nation that fish for them,portug
214,b follow a,$400,mean loathsom it preced snowman or in a movi titl dr phibe,abomin
215,ock du lieber,$1000,a mytholog serpent that hatch from an egg,cockatric
216,ho cu po cu,$400,it 's the proper term for a foot doctor,podiatrist
217,sinner,$400,genesi thirteen tell u that the men of thi citi were wick and sinner,sodom
218,the end in x file,$400,thi bacteri cattl diseas whose name is from the greek for coal can be transmit to human,anthrax
219,the state of the state,$1000,"extrem windi seen a href http www j archiv com medium two thousand and ten one seven j twenty-eight jpg target blank here a is the april eleven one thousand, nine hundred and sixty-five doubl tornado in elkhart in thi state",indiana
220,same titl differ song,$1000,"sticki sweet titl of no one for bobbi goldsboro in one thousand, nine hundred and sixty-eight mariah carey in one thousand, nine hundred and ninety-seven",honey
221,secret menu,$200,a move to healthi eat got the pizza sub nix from thi chain but we hear if you ask nice some store will make it,subway
222,anim,$400,with it singl twist horn it 's known a the unicorn of the whale famili,narwhal
223,wine,$200,contain a mixtur of about forty herb thi aromat wine is use in martini,vermouth
224,roll with it,$400,thi sport use a ball that ha a circumfer of twenty-seven inch a weight limit of sixteen pound,bowl
225,the holi c,$1000,thi grandson of noah share hi name with the promis land,canaan
226,conquer,$1000,"forc of thi european nation conquer algier in one thousand, eight hundred and thirty end it use a a stronghold by pirat",franc
227,tidi,$200,be of good thi if you know that thi laundri deterg wa onc label all temperatur,cheer
228,a ha,$200,well prais the lord it mean prais the lord,hallelujah
229,build part,$400,the minibar is found in a hotel room the minbar is the pulpit in one of these islam structur,mosqu
230,a shape categori,$200,often stuf bake conchiglioni is jumbo pasta shape like these,shell
231,guin record,$400,"a one thousand, seven hundred and fifty-nine document record arthur guin sign a nine zero year lea on a breweri at st james' gate in thi citi",dublin
232,prefix,$1000,thi prefix turn one byte of data into about a billion,giga
233,look up in the sky,$200,altocumulu nimbostratu are middl type of these is it weird i alway see nun when i look at them ?,cloud
234,bodi languag,$400,compos of eight bone it 's the largest part of the skull it shield the brain,cranium
235,19th centuri africa,$1000,"thi mali trade post wa rediscov by major gordon la in one thousand, eight hundred and twenty-six",timbuktu
236,unusu place name,$1000,"in the one thousand, nine hundred and fifty thi texa town consid chang it name so a not to be associ with the nabokov novel",lolita
237,europ,$400,it 's the smallest in area of the benelux countri,luxembourg
238,you look like a greek god,$400,he wa god of wood pastur made a pipe now call by hi name,pan
239,divid by a common languag,$400,a pedestrian cross mark with stripe is call thi like a stripi anim,zebra
240,taipei person,$200,"follow china 's defeat in an one thousand, eight hundred and ninety-five war taiwan wa cede to thi nation that redesign taipei a a modern citi",japan
241,what' your sine ?,$400,use trig with the period movement of the sun moon the time of high low these can be determin,tide
242,food o drink o,$400,at starbuck they dilut thi strong coffe with water to make caff americano,espresso
243,school motto,$400,harvard univers 's motto is simpli verita mean thi,truth
244,the roman god or goddess of,$400,wine woman song appar went to other depart,bacchu
245,synonymbl,$1000,if someon ask you for anoth term for one of these book made famou by roget tell him synonym finder,thesauru
246,toy game,$1000,thi number come befor q in the name of a game use artifici intellig to read your mind,twenty
247,state capit,$400,it 's home to grand canyon univers,phoenix
248,so what ?,$400,it 's a glass in room or galleri where you can catch some ray,solarium
249,weaponri,$1000,the weapon that are burst in line five of the star spangl banner,bomb
250,food chain,$1000,featur the famou bloomin' onion thi restaur also offer a joey menu for kid,outback
251,radio citi,$1000,the one hundred zero watt voic of georgia state univers wra in thi citi is the most power all student run u s radio station,atlanta
252,virginia,$200,"slaveri wa introduc into what would becom the u s in thi virginia settlement in one thousand, six hundred and nineteen",jamestown
253,whose lime is it anyway ?,$1000,the headquart of thi world famou insur compani underwrit is on lime street in london,lloyd
254,on the menu,$1000,the name of thi beef cut next to the rib impli that it melt in your mouth,tenderloin
255,let u prey,$200,thi arachnid is character by an erectil tail tip with a venom stinger with which it dispatch prey,scorpion
256,famou ray,$200,"in one thousand, nine hundred and fifty-four industri design raymond loewi redesign the icon shape of thi soft drink 's bottl",coke
257,the bibl,$400,thing save from thi citi were the gold silver the iron brass vessel rahab her famili,jericho
258,strive for an f,$1000,the us presid wa commodor stephen decatur 's thi,flagship
259,busi buddi,$200,"s duncan black thi partner file a patent for a drill in one thousand, nine hundred and fourteen",decker
260,hors sen,$1000,"we 'll issu you one if you can name thi hors who in one thousand, nine hundred and fifty-one becam the first million dollar earner",citat
261,columbu discov the new world,$1000,"a href http www j archiv com medium two thousand and nine ten fourteen j nine wmv kelli of the clue crew show a map on the monitor a in april one thousand, four hundred and ninety-three amidst great pomp columbu announc the discoveri of the new world to hi patron queen isabella in a href http www j archiv com medium two thousand and nine ten fourteen j nine jpg target blank thi a citi",barcelona
262,what do you stand for ?,$200,the oil treatment product stp stand for scientif treat thi,petroleum
263,the sword,$1000,wesley snipe slice hi sword through vampir in thi film trilog,blade
264,the battl of the sex,$200,hembrismo ha been use a the feminin counterpart to thi veri masculin term,machismo
265,the name have been chang,$1000,"when soni introduc thi product in one thousand, nine hundred and seventy-nine it wa call the soundabout",walkman
266,plural it,$1000,look it 's a wing celesti be call a cherub that make it one of these an unusu plural,cherub
267,biolog,$1000,aye aye it 's a lack of ascorb acid that can caus thi diseas,scurvi
268,z end,$400,in the bibl he wa marri to ruth,boaz
269,hint from helois,$200,rub thi part of a pencil on an emeri board so it wo n't caus smudg on your paper,era
270,the old dominion,$1000,"until one thousand, nine hundred and ninety-one thi landlock nation east of the carpathian mountain wa a republ of the soviet union",moldova
271,rate g,$1000,your mom may complain that your hand are thi mean dirti or more liter infest with larva,grubbi
272,ghost stori,$200,"the most import lesson of thi one thousand, nine hundred and eighty-two film do n't build your hous on an indian burial ground",poltergeist
273,down at the old factori,$200,"havana 's real fabrica de tabaco partaga ha been turn these out sinc one thousand, eight hundred and forty-five",cigar
274,annual observ,$200,april twenty-nine is emperor 's day in thi asian countri,japan
275,u s geographi,$400,the largest area of sand dune in north america lie north of the platt river in thi state,nebraska
276,old busi,$200,origin occup of william warner of warner lambert charl walgreen of walgreen,pharmacist
277,biblic woman,$1000,after her husband die she her mother in law naomi move to bethlehem,ruth
278,california export,$400,skecher make these up to size fifteen for men,shoe
279,potpourri,$1000,for one game minor leagu basebal 's st paul saint use these on top of the dugout to reenact big play,mime
280,herb spice,$400,roman believ a garland of thi garnish worn on the head would prevent drunken,parsley
281,turkey,$200,usual tale of mideast hospit includ the serv of the turkish type of thi in tini cup,coffe
282,indiana,$400,"thi lasagna love cartoon charact creat by jim davi wa born in indiana in one thousand, nine hundred and seventy-eight",garfield
283,ho cu po cu,$200,georg washington 's mount vernon home lie on the bank of thi river,potomac
284,world religion,$400,hawaii 's second largest island is name for thi polynesian demi god,maui
285,soap box derbi,$1000,thi soap brand ha been on a campaign for real beauti,dove
286,list on ebay,$1000,in two thousand and one the open bid wa one zero for a privat jet from thi compani it close at a record four nine million,gulfsteam
287,the brain,$200,intens indoctrin aim at replac your basic convict with the parti line,brainwash
288,happi hanukkah,$400,each morn dure hanukkah select known a hallel from thi biblic book are sung in synagogu,psalm
289,quotabl movi,$400,two thousand and one good even claric just like old time,hannib
290,ye god,$1000,cover a lot of ground thi greek counterpart of diana wa the goddess of childbirth chastiti,artemi
291,the 4th,$200,the 4th gospel of the new testament,john
292,swiss famili fun,$1000,in februari schoolchildren in the villag of scoul build the hom strom or man of thi set him aflam,straw
293,religion,$400,"around one thousand, one hundred and fifty-four the carmelit religi order wa found on mount carmel in what is now thi countri",israel
294,fix the malaprop,$1000,by definit countri right next to each other are contagi,contigu
