,category,value,ques,ans
65,histor home,$200,the gibson hous on beacon street in thi citi is name for it origin 19th centuri furnish,boston
66,barn s,$1000,privat four year woman 's colleg locat at three thousand and nine broadway in manhattan,barnard
67,on the go,$1000,in the book of daniel he surviv be put into a furnac,abednego
68,am i blue ?,$200,elijah blue allman is her son,cher
69,slow news day,$1000,sarah tonight a hear on whether these construct tool that includ a man 's name are harm your hear,jackhamm
70,book of the bibl,$200,and mose said unto the peopl rememb thi day in which ye came out from egypt out of the hous of bondag,exodu
71,poetic word,$1000,a poem by robert burn taught u that gang aft thi mean often go wrong,agley
72,plural it,$1000,look it 's a wing celesti be call a cherub that make it one of these an unusu plural,cherub
73,what' in a name ?,$200,hebrew for princess it 's the first name of the actress who play buffi the vampir slayer,sarah
74,hollywood thriller preview ?,$1000,in australia water is go down drain backward to u thi fall mel gibson take on the reason whi thi effect,corioli
75,anagram canadian citi,$1000,cowboy love it laci rag,calgari
76,babi name a la shakespear,$1000,for an eighth child prefer a daughter thi name from antoni and cleopatra would be fit,octavia
77,get a job,$200,usual term for the pianist at a solo vocal recit,accompanist
78,land ha,$200,"in one thousand, six hundred and thirty-six thoma hooker a congregationalist minist found what would be thi capit of connecticut",hartford
79,romania,$1000,stick your neck out in thi mountain region of romania whose name mean beyond the forest,transylvania
80,two thousand and twenty-seven the year in entertain,$200,thi author return with harri potter and the nag back injuri becaus whi not make anoth billion ?,rowl
81,juli,$1000,"thi italian sonnet who wrote poem to laura wa born in juli one thousand, three hundred and four",petrarch
82,the land,$200,thi countri is the land of the shamrock,ireland
83,start with alpha,$200,agap is greek for the brotherli type of thi,love
84,i i i,$200,keen insight woman 's seem to be especi potent,intuit
85,last name' the same,$200,origin moonwalk neil biker lanc,armstrong
86,new testament quot,$200,jesu said in john six fifty-five for my flesh is meat inde and thi is drink inde,blood
87,jack of all trade,$1000,jack mazzola serv onli organ fair trade at hi west villag stir brew thi,coffe
88,anim movi,$200,lightn mcqueen crash into radiat spring in thi raci two thousand and six flick,car
89,tv charact,$200,detect who chomp on half smoke cigar alway wear a rumpl stain raincoat,columbo
90,rock miner,$200,henri becquerel discov thi properti when some uranium darken hi photograph plate,radioact
91,the english beat,$200,"thi citi first mention in nine hundred and twelve is the seat of britain 's oldest univers develop in the one thousand, one hundred",oxford
92,pro footbal,$1000,"a href http www j archiv com medium two thousand and four nine nine j thirty jpg target blank i m hall of fame run back john riggin a in one thousand, nine hundred and eighty-three i rush for a then record twenty-four td the redskin offens line who open hole for me had thi nicknam",hog
93,busi,$1000,"in one thousand, nine hundred and forty-six thi brand came in a the first laundri deterg to have a phosphat compound a a water soften",tide
94,ho cu po cu,$200,georg washington 's mount vernon home lie on the bank of thi river,potomac
95,one of the seven deadli sin,$1000,in the movi gordon gekko said it wa good,greed
96,california export,$200,the caab is the california advisori board for these seen here,artichok
97,airport i d code,$200,reserv for navi airfield n ca n't begin an identifi for a commerci airport so thi n j airport is ewr,newark
98,so you want to join the lapd,$200,dure the physic abil test thi must be maintain for thirty second while stand on a platform,balanc
99,real estat,$200,from the latin for fair it 's a properti 's fair market valu minu outstand debt,equiti
100,a nebraska cornhusk or,$1000,poetri in motion '90 qb scott or poetri in execut writer robert,frost
101,histori of drink,$1000,cognac is a type of thi liquor that one stori say origin with wine concentr for transport,brandi
102,that '70 song,$1000,"thi one thousand, nine hundred and seventy-one hit from bread would fit in a two letter word categori",if
103,european parliament member,$1000,a doctor repres laszlo surjan of thi countri ha also taught medicin,hungari
104,secretary' day,$1000,"after work a a secretari no wonder thi florentin author who die in one thousand, five hundred and twenty-seven wa known for hi amor cynic",machiavelli
105,mammal,$200,thi u s marsupi ha fifty teeth more than ani other north american land mammal,opossum
106,tv name,$1000,an offic comedi better off,ted
107,hint from helois,$200,rub thi part of a pencil on an emeri board so it wo n't caus smudg on your paper,era
108,four letter fill in the proverb,$1000,there are none so a those who will not hear,deaf
109,area of expertis,$1000,some attorney special in thi type of plan for the transfer of asset onc you die,estat
110,tabl of contin,$1000,with it multipl peninsula island it ha the highest ratio of coastlin to total area,europ
111,color,$1000,gambog is a yellow pigment that got it name from it origin in thi southeast asian countri,cambodia
112,it' al delici,$1000,made from pimiento berri it 's so name becaus it tast like nutmeg cinnamon clove,allspic
113,shark tank,$1000,a href http www j archiv com medium two thousand and nine nine twenty-nine j thirty jpg target blank i'm kevin harrington a shark do cooper sometim i help establish the electron retail associ to help promot thi the cultiv of a web of busi relationship,network
114,famou ray,$200,"in one thousand, nine hundred and fifty-four industri design raymond loewi redesign the icon shape of thi soft drink 's bottl",coke
115,what planet are you from ?,$1000,band of debri ice surround it a do it satellit includ titan,saturn
116,spider,$200,one of the world 's most danger spider is thi countri 's sydney funnel web,australia
117,goodby columbu,$200,"ya mon on june twenty-nine one thousand, five hundred and four columbu wa rescu from thi island where he 'd been shipwreck for a year",jamaica
118,time for the sat again,$1000,adject for ani liquid that ha all the solut it can handl,satur
119,well you no,$200,to propos someon for elect to an offic,nomin
120,intern cuisin,$200,you might begin a german meal with aalsupp a soup made from thi snake like sea creatur,eel
121,sub categori,$200,the one associ with oliv twist is the parish boy 's progress,subtitl
122,world of food,$1000,colcannon is an irish peasant dish of mash potato tradit thi green fine chop,cabbag
123,u s region,$1000,thought to be barren the great plain were mark on pre civil war map a the great american thi,desert
124,woman outstand in their field,$1000,geraldin farrar elisabeth schwarzkopf birgit nilsson,opera
125,state name origin,$200,thi state 's name is from chippewa word mean great water after the lake of the same name,michigan
126,backword,$200,if that chihuahua yap ani more i swear i'm go to do thi to it,spay
127,academ degre,$1000,you can earn a j d degre onlin prepar you to practic in thi field,law
128,easi a a b c,$200,the state of be away you might take a leav of one,absenc
129,aviat,$200,"in one thousand, nine hundred and thirteen thi russian helicopt pioneer built le grand the first four engin airplan",sikorski
130,luci,$1000,luci pevensi is a charact in the book movi set in thi fiction land,narnia
131,superstit,$1000,cast in a play with al pacino paul giamatti enrag the superstiti star by whistl by name thi shakespear play,macbeth
132,sculptur,$1000,in a coloss bronz by cellini perseu is hold the head of thi gorgon,medusa
133,of oz,$1000,the name of these singl cell organ is from the greek for first anim,protozoa
134,scienc natur,$200,mesquit can send these down sixty foot to reach moistur,root
135,the middl age,$200,seek an elixir for immort the 9th c chine accident invent thi use saltpet sulfur charcoal,gunpowd
136,grown up eat that ?,$200,if a grown up tri to serv you the oxtail type of thi say no thank i 'll have the chicken noodl,soup
137,hunk,$200,thi model hunk becam famou by appear on the cover of romanc novel and it 's not me,fabio
138,america,$1000,helen keller wa born in a hous name ivi green in tuscumbia in thi state,alabama
139,the red head leagu,$1000,radiat at wavelength longer than visibl light shorter than microwav,infrar
140,salt,$200,"in one thousand, nine hundred and thirty thi indian pacifist march two hundred mile to the sea to protest britain 's salt tax",gandhi
141,four letter word,$200,an endors allow entri into a countri or a card use to charg a bundl while you 're there,visa
142,age ago,$1000,in five hundred and thirty-eight b c cyru the great put an end to the captiv of the jew in thi realm,babylon
143,z end,$1000,it 's a print cotton fabric often use for drape,chintz
144,with brotherhood,$1000,the dust brother produc thi sibl band 's middl of nowher which featur mmmbop,hanson
145,ballet,$200,the new york citi ballet 's first visit to thi citi 's famou festiv inspir the ballet scotch symphoni,edinburgh
146,four letter word,$200,hors are hot to do it,trot
147,robert loui stevenson,$1000,"around one thousand, eight hundred and ninety stevenson bought three hundred acr in what 's now thi countri where he wa call tusitala or teller of tale",samoa
148,moroccan 'round the clock,$200,it 's morocco 's largest citi chief seaport sweetheart,casablanca
149,onli in america,$200,it 's equal to four eight hundred and forty squar yard,acr
150,lock key,$1000,a thingamabob or perhap a command to the main charact in the iceman cometh,doohickey
151,world religion,$200,a buddhist follow the eightfold path will lose ignor crave reach thi,nirvana
152,herb spice,$1000,also call estragon it 's use to add a tang to sauc mani dish,tarragon
153,face book,$200,posse five face fifteen eye pancanana is a demon god of thi asian religion,hinduism
154,are we there yet ?,$200,make a rug or a basket or zigzag your way through traffic,weav
155,the circulatori system,$200,carbon dioxid is swap for oxygen in the alveolus of these organ,lung
156,biblic book titl,$1000,the bear is one of the stori in faulkner 's collect call go down him,mose
157,am i your type ?,$1000,if you 're onli ever offer one kind of role like a priest or a nazi you 're be thi,typecast
158,u s citi,$200,it nicknam includ the athen of america the cradl of liberti,boston
159,i'll have the beef,$200,a well marbl steak is streak with thi substanc,fat
160,provinc town,$200,cap de la madelein sept ile troi rivier,quebec
161,your five clue newscast,$200,our top stori in aug two thousand and eight the gao report thi troubl mideast countri could have a seventy-nine billion budget surplu,iraq
162,school motto,$1000,the univers of guam share thi motto with the state of new york it mean higher,excelsior
163,is thi a rerun ?,$1000,if you miss the first sat night episod of thi realiti show on fox there 's usual anoth right after,cop
164,wine tast,$1000,johannisberg is a popular type of thi white wine known for it fruiti flavor crisp finish,riesl
165,annual event,$200,thi largest citi in new mexico host an intern balloon festiv in mid octob,albuquerqu
166,i'll make a note of it,$200,in astrolog notat thi sign is repres by two fish,pisc
167,blarney,$1000,"thi word for a type of liquor appli to a one thousand, seven hundred and ninety-four american rebellion",whiskey
168,box,$200,mean to strike rapidli it 's the term use for practic fight,spar
169,g eographi,$1000,"king constantin of thi balkan countri wa forc from hi throne in one thousand, nine hundred and seventeen again in one thousand, nine hundred and twenty-two",greec
170,st augustin,$1000,st augustin 's castillo de san marco is an old fort built from a form of limeston known a coquina or littl these,shell
171,music theatr,$1000,the mask for thi littl hero of broadway 's the lion king wa design without a lower jaw like a roman helmet,simba
172,better ask for direct,$200,of north south east or west the direct to travel to get from the u s naval acad to the u s militari acad,north
173,bibl guy,$200,zacharia minist in the templ in thi book that come befor john after mark,luke
174,gram,$200,a trademark deliveri of sweet a messag,candygram
175,pope pourri,$1000,thi titl refer to someon set up a bishop of rome in opposit to the one alreadi hold the see two live in avignon,antipop
176,no anim were harm,$1000,you can see whi a href http www j archiv com medium two thousand and nine two eleven j twenty-eight wmv thi a star a white pig receiv thousand more fan letter than co star eva gabor,arnold
177,french cuisin,$200,to make mouss d'ecreviss you need at least thirty of these freshwat crustacean,crayfish
178,gray matter,$200,at fourteen two hundred and seventy foot gray peak is the highest point on the continent divid one of thi state 's highest mountain,colorado
179,rebellion shays' whiskey,$200,both shays' rebellion the whiskey rebellion were protest against these,tax
180,great brit,$200,in the twenty year befor paradis lost he wa more focus on pamphlet than poetri,milton
181,seven letter word,$200,peopl thick a these are close or tight you may want to hold on to your wallet,thiev
182,an averag categori,$1000,marquett michigan averag two thirty-five inch of precipit in thi month known proverbi for shower,april
183,all god' creatur,$1000,thi butterfli dog wa often repres in the paint of peter paul ruben hi follow,papillon
184,movabl feast,$1000,not monday but thi day of the week can be maundi,thursday
185,histori crossword clue m,$1000,a dolley hous home to the madison ten,montpeli
186,nation park a z,$1000,z it 's the onli nation park that fit the bill,zion
187,onlin,$200,in two thousand and ten thi site remov it adult servic list,craigslist
188,from the greek,$1000,a href http www j archiv com medium two thousand and six eleven two j thirteen jpg target blank jon of the clue crew at the alabama institut for deaf blind a at alabama institut for deaf blind kid gain self esteem confid with a href http www j archiv com medium two thousand and six eleven two j 13a jpg target blank thi a type of therapi from the greek for hors,hippotherapi
189,most popular babi name of two thousand and seven,$200,girls' no one like a dickinson a post or a litella,emili
190,verb atim,$1000,to destroy someth complet is to do thi verb that 's deriv from the latin for noth,annihil
191,b your best,$1000,"until one thousand, nine hundred and seventy-three it wa known a british hondura",beliz
192,da plane da plane,$1000,"the first commerci passeng tran atlant servic wa by pan am in one thousand, nine hundred and thirty-nine between nyc thi french port",marseil
193,the dog,$200,lobo sang about me and you and a dog name thi,boo
194,busi industri,$200,to compet with electron watch smh creat thi inexpens swiss watch,swatch
195,crossword clue f,$1000,roll a flag around a pole four,furl
196,i doctor,$200,the pancrea secret thi hormon in respons to high level of blood sugar,insulin
197,organ religion,$1000,american intern gita societi sanskrit religion institut,hinduism
198,when the chip are down,$200,download off the net may have infect your system with one of these program latin for poison,viru
199,featur creatur,$200,in a book by michael bond mr and mr brown first met thi bear on a railway platform,paddington
200,state of interest,$1000,the town of levan navel backward is locat in the middl of thi state whose symbol is a beehiv,utah
201,i coulda had a g8,$1000,in two thousand and nine the g8 countri met in l'aquila in thi countri,itali
202,all around london,$1000,thi fashion london district is so name for the market festiv onc held there in the first week of may,mayfair
203,nativ american place name,$1000,an rv maker base in iowa share it name with thi larg wisconsin lake,winnebago
204,u s magazin,$1000,no ten thi drive travelers' club 's westway,aaa
205,i befor e after c,$200,the major subdivis of a genu or subgenu,speci
206,come ho chi minh,$1000,ho chi minh 's real famili name wa n't ho it wa thi like mani other vietnames,nguyen
207,highway byway,$200,"in the one thousand, nine hundred and fifty paul rever 's ride wa depict on sign for thi state 's i ninety turnpik",massachusett
208,four letter word,$200,a a verb it can mean to give shape to a a noun it can mean that fuzzi green stuff on the bread,mold
209,stupid answer,$200,"florenc nightingal wa born in thi italian citi in one thousand, eight hundred and twenty",florenc
210,a world of music,$1000,the armenian duduk is one of the instrument on thi uni name greek musician 's ethnic album,yanni
211,ito tito frito,$1000,"on may four one thousand, nine hundred and eighty tito die in ljubljana in what wa then thi countri",yugoslavia
212,the new york time headlin,$200,"septemb fifteen one thousand, nine hundred and fifty u n forc land behind communist in thi peninsula seiz inchon",korea
213,the onion describ the state,$1000,it is not just the former soviet republ that everyon know about it is also in fact a small u s state,georgia
214,nonfict peopl,$1000,the corsican is a diari of hi life in hi own word,napoleon
215,brussel sprout,$1000,they might need a drummer boy when thi battl that seal napoleon 's fate is re enact near brussel everi five year,waterloo
216,feminin name,$200,actress bergman help popular thi scandinavian first name possibl mean beauti,ingrid
217,name drop at the mall,$200,maker of all american cloth fitch,abercrombi
218,crossword clue j,$200,carrol 's slithi nonsens poem eleven,jabberwocki
219,i'm serv t,$200,hope you like fish i'm serv the spot silver speckl type of thi i expect you to eat all of them,trout
220,"decemb one thousand, nine hundred and sixty-three",$200,on decemb four the american cancer societi releas a studi link thi with earli death,smoke
221,the new testament,$200,matthew wa a publican mean he collect these,tax
222,americana,$200,rhode island is nicknam littl rhodi thi state is littl ida,idaho
223,compound word,$1000,a a noun it 's a small slit in a garment a a verb to tri to hold someon 's attent,buttonhol
224,'90 sitcom,$200,guest telephon caller to kacl in thi sitcom have includ mel brook randi travi jane pauley,frasier
225,the ballet of the land,$1000,"the april thirteen one thousand, nine hundred and sixty-five premier of onegin help put thi countri 's stuttgart ballet on the world stage",germani
226,i play the drum,$200,a href http www j archiv com medium two thousand and seven two nineteen j one jpg target blank jon of the clue crew deliv the clue from the drummer 's throne a a common rock roll pattern is a href http www j archiv com medium two thousand and seven two nineteen j one mp3 thi one a which stress the 2nd and 4th beat it 's also the titl of a movi about the beatl,backbeat
227,who want to be a legionnair ?,$200,technic it 's the onli countri in the world that you ca n't be from to enlist in the french foreign legion,franc
228,sold,$1000,avian verb mean to sell good in public often by loudli announc them,hawk
229,fashion,$200,from the french it 's a sheer often laci dress gown similar to a pegnoir,neglige
230,play,$1000,like mani real 18th centuri gent fiction horatio hornblow enjoy thi card game relat to bridg,whist
231,drug in the movi,$200,"one thousand, nine hundred and eighty-three star al pacino a a drug craze murder miami kingpin",scarfac
232,you be beauti,$200,a href http www j archiv com medium two thousand and nine one five j twenty wmv dr oz present a ea your stress it age effect by appli pressur to the web of your hand a homemad version of thi techniqu,acupressur
233,organ,$200,it 's what the r stand for in aarp,retir
234,championship movi,$200,thi gene hackman hoop movi wa call best shot in europ due to fear that no one would understand the u s titl,hoosier
235,they got it on ebay,$200,somebodi paid two zero for an 18th centuri kit for kill these content includ hammer stake a crucifix,vampir
236,health medicin,$200,of forcep bicep or tricep the one that 's a surgic instrument,forcep
237,three letter abbrev,$1000,mister rogers' neighborhood masterpiec theater are found here,pb
238,stuff,$1000,"built in one thousand, eight hundred and eighteen the vulcan wa one of the first ship made primarili of thi metal",iron
239,lit student,$1000,thi titl shakespear guy attend school in wittenberg two of hi mate there are later brought into the plot,hamlet
240,postcard from the edg,$1000,tour the burj in thi u a e citi they say it 's the tallest tower in the world look over ledg lost my lunch,dubai
241,roman 'round mytholog,$200,she 's jupit 's sister hi wife hi sister hi wife she 's jupit 's sister hi wife,juno
242,easi a a b c,$1000,anoth word for a kidnap perhap from a seraglio,abduct
243,new age think,$1000,seen here is an exampl of one of these graphic mystic medit aid whose name is from the sanskrit for circl,mandala
244,ah sweet mister e,$200,it come befor queen in the pen name of a king of mysteri writer,elleri
245,a side of bacon,$1000,from the italian for paunch or belli thi bacon is often wrap around other meat,pancetta
246,citi statu,$1000,18th centuri hero colonel william prescott seen a href http www j archiv com medium two thousand and ten four one j twenty-one jpg target blank here a in a state capit,boston
247,howdi partner,$1000,"in one thousand, six hundred and seventy-three he hi explor partner joliet becam the first european to visit the area of chicago",marquett
248,six educ,$1000,"le six of the one thousand, nine hundred and ten '20 were a group of six of these that includ georg auric",musician
249,where am i ?,$200,sofia of the clue crew i'm in thi citi often call the queen of the adriat,venic
250,be punctual,$200,shorter than a dash it came between the angl saxon,hyphen
251,hodgepodg,$200,iodin is part of the hormon thyroxin produc by thi gland,thyroid
252,let' go to the movi,$200,the strength of the outer part of a kernel of thi determin if it 's a nice fluffi one or a crunchi old maid,popcorn
253,describ the film,$200,two thousand and seven big robot explos michael bay explos an allspark explos,transform
254,histor militari therapi session,$1000,my victori for epiru over the roman left me with a hollow empti feel the price wa too high,pyrrhu
255,all my child,$200,a a member of pine valley 's daughter of fine lineag phoeb trace her root back to thi boat,mayflow
256,capit idea,$1000,"one of the oldest continu inhabit citi it becam a capit in one thousand, nine hundred and forty-six when syria gain independ",damascu
257,pen name,$200,thi crayon brand also make click em on marker spider writer,crayola
258,i'll be doggon,$1000,for ten year after hi master 's death a dog of thi breed wait daili for hi return at a tokyo train station,akita
259,name that tune ster,$200,a singer actress babi boy crazi in love irreplac,beyonc
260,now you'r talk my languag,$1000,felip guaman poma de ayala is a well known writer in thi languag of the inca,quechua
261,the human bodi,$200,the mandibl is not the onli moveabl bone in the head the incu in the middl part of thi move too,ear
262,fact from the world almanac,$200,bahrain 's natur resourc includ oil fish natur ga these prize mollusk product,pearl
263,pour me a stiff one,$1000,mon dieu thi french liqueur wa origin made at the abbey of fecamp by the monk for which it is name,benedictin
264,polit,$1000,a contract of procuraci it 's a person you author to vote in your place,proxi
265,doubl c,$1000,it 's bach to basic for a href http www j archiv com medium two thousand and four two two j twenty-four mp3 thi a type of piec,toccata
266,same first last letter,$200,food bought in a restaur to be eaten at home,takeout
267,the first word,$1000,in shakespear 's 18th sonnet,shall
268,jewelri,$200,the scarab lotu flower isi knot were all design use in thi countri 's jewelri,egypt
269,the helois with you,$1000,wash your dog with certain green soap to avoid see these pests' circu,flea
270,sat s,$1000,curio kill the cat but thi brought it back,satisfact
271,household hint,$200,for small repair nail polish can sometim substitut for thi,glue
272,time for a round of golf,$200,"first award in one thousand, nine hundred and fifty-eight an amateur golf trophi is name for thi u s presid",eisenhow
273,you can't have one without the other,$1000,the decor pattern seen a href http www j archiv com medium two thousand and eight three twenty-four j twenty-three jpg target blank here a is call thi and dart,egg
274,i think i love shoe,$1000,you can recogn thi french design 's chic shoe by the trademark red sole,louboutin
275,the land,$1000,the name of thi state is from choctaw mean it 's the land of the red peopl,oklahoma
276,booz,$1000,one cover stori in the magazin devot to name for thi liquor wa the birth of blend,whiskey
277,irregular verb,$200,for the past ten of dream you have your choic of dreamt or thi regular form,dream
278,the person,$1000,thirty-seven a d let 's have italian littl boot emperor seek hot companion shoe for stylish fit,caligula
279,emmi repeat winner ?,$1000,we 'll see if a href http www j archiv com medium two thousand and nine nine eighteen j sixteen jpg target blank glenn close a can repeat her two thousand and eight emmi for her work on thi program,damag
280,howdi partner,$200,19th centuri print partner of nathaniel currier,ive
281,movin' on up,$1000,adject mean sudden or unexpect such a when one is brusqu in speech,abrupt
282,job,$200,the whipper in assist with the hound in thi controversi sport recent restrict in the u k,foxhunt
283,rememb y two k,$1000,one tap on a comput termin give u thi compound word,keystrok
284,start end with c,$1000,courvoisi is one of the world 's lead maker of thi potent potabl,cognac
285,organ,$200,a california board maintain by produc of these dri plum ha regular meet,prune
286,hat' all folk,$1000,a href http www j archiv com medium two thousand and three one seven j twenty-five jpg target blank sofia of the clue crew show off her headwear a hat 's off to the moroccan citi that share it name with thi type of hat,fez
287,sugar,$200,american indian boil down thi tree 's sap call the sugari result sweetwat,mapl
288,the old testament,$200,thi strongman 's last prayer wa that god give him the strength to collaps the templ of hi philistin captor,samson
289,landmark,$200,by flood the arena thi largest roman amphitheat could be use for mock naval battl,colosseum
290,hodgepodg,$200,on the day thi emperor wa buri japan grant amnesti to thirty zero peopl,hirohito
291,bot of cours,$1000,he includ some of the medici in hi renaiss masterpiec paint the ador of the magi,botticelli
292,meat,$200,it 's the term for a young pig that 's fatten for it meat,porker
293,american citi,$1000,often place in the bear famili the first giant panda in the u s wa appropri exhibit in thi midwest citi,chicago
294,that' expens,$1000,got six hundred and seventy-five zero ? then the alma tadema a piano made by thi compani found by a 19th c german man could be your,steinway
295,that' ok,$1000,"thi new jersey port citi wa incorpor in one thousand, eight hundred and fifty-five",hoboken
296,shakespear,$200,in the tame of the shrew thi charact actual say kiss me kate,petruchio
297,that' ok,$200,"thi capit wa devast by the great kanto earthquak of one thousand, nine hundred and twenty-three",tokyo
298,it' a dog' life,$200,yo quiero thi breed whose origin are shroud in mysteri,chihuahua
299,literari hodgepodg,$1000,the amber spyglass is the third book in the trilog call hi dark these,materi
300,the western hemispher,$1000,thi southwestern u s desert ha a river of the same name flow mainli underground to near soda lake,mojav
301,the food section,$200,for japanes new year feast on mochi pound cake made from thi grain,rice
